C:/Users/Bowers/Documents/minecraft-worlds/mc-server/internalStorage/Dedicated_Server.txt
[2020-06-12 19:43:41 INFO] Running AutoCompaction...
[2020-06-12 19:49:41 INFO] Running AutoCompaction...
[2020-06-12 19:55:41 INFO] Running AutoCompaction...
[2020-06-12 20:01:41 INFO] Running AutoCompaction...
[2020-06-12 20:07:41 INFO] Running AutoCompaction...
[2020-06-12 20:13:41 INFO] Running AutoCompaction...
[2020-06-12 20:19:41 INFO] Running AutoCompaction...
[2020-06-12 20:25:41 INFO] Running AutoCompaction...
[2020-06-12 20:31:41 INFO] Running AutoCompaction...
[2020-06-12 20:37:41 INFO] Running AutoCompaction...
[2020-06-12 20:39:38 INFO] Player connected: jA3ger73, xuid: 2535415509043263
[2020-06-12 20:40:10 INFO] Player disconnected: jA3ger73, xuid: 2535415509043263
[2020-06-12 20:45:57 INFO] Running AutoCompaction...
[2020-06-12 20:51:57 INFO] Running AutoCompaction...
[2020-06-12 20:57:57 INFO] Running AutoCompaction...
[2020-06-12 21:03:57 INFO] Running AutoCompaction...
[2020-06-12 21:09:57 INFO] Running AutoCompaction...
[2020-06-12 21:15:57 INFO] Running AutoCompaction...
[2020-06-12 21:21:58 INFO] Running AutoCompaction...
[2020-06-12 21:27:58 INFO] Running AutoCompaction...
[2020-06-12 21:33:58 INFO] Running AutoCompaction...
[2020-06-12 21:39:58 INFO] Running AutoCompaction...
[2020-06-12 21:45:58 INFO] Running AutoCompaction...
[2020-06-12 21:51:58 INFO] Running AutoCompaction...
[2020-06-12 21:57:58 INFO] Running AutoCompaction...
[2020-06-12 22:03:58 INFO] Running AutoCompaction...
[2020-06-12 22:09:58 INFO] Running AutoCompaction...
[2020-06-12 22:15:58 INFO] Running AutoCompaction...
[2020-06-12 22:21:58 INFO] Running AutoCompaction...
[2020-06-12 22:27:58 INFO] Running AutoCompaction...
[2020-06-12 22:33:58 INFO] Running AutoCompaction...
[2020-06-12 22:39:59 INFO] Running AutoCompaction...
